#Artificial_Life_Lecture_SS18_Programming_Assignment_PA_F_List_of_46_Positions_in_2D  
 1	 446	 621	#
 2	 328	 913	#
 3	1062	 966	#
 4	 857	1071	#
 5	 755	 884	#
 6	 606	 627	#
 7	 477	 798	#
 8	 684	 764	#
 9	 430	 671	#
10 	 889	 857	#
11	 720	 786	#
12	 927	 780	#
13	 592	 535	#
14	 249	 548	#
15	 788	 383	#
16	 940	 667	#
17	  51	 960	#
18	 627	 831	#
19	 350	 636	#
20	 458	 707	#
21	 179	 947	#
22	 860	 571	#
23	 456	 896	#
24	1012	 473	#
25	1115	1116	#
26	 569	 400	#
27	 378	 727	#
28	 732	 942	#
29	 618	 705	#
30	 146	 147	#
31	 786	 487	#
32	 578	 960	#
33	 578	 900	#
34	 712	 897	#
35	 788	 951	#
36	 830	 921	#
37	 686	 420	#
38	 794	 411	#
39	 752	 977	#
40	 523	 792	#
41	 623	1150	#
42	 578	 960	#
43	 663	 768	#
44	 820	 556	#
45	 745	 637	#
46	 657	 840	#
